Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-067,2003,6.4,8,6,2,5,1,2,11,18.2,9,6,1,5,2,10,6,0,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-029,2001,16.5,28,16,8,12,8,20,38,52.6,18,12,2,10,5,33,7,0,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-301,1999,3.4,3,1,0,1,2,0,1,0.0,1,1,0,1,0,3,3,0,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-247,1996,16.6,17,7,12,5,0,10,19,52.6,9,12,5,7,6,23,75,0,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-311,1994,18.4,25,13,13,10,2,11,18,61.1,7,27,17,10,22,47,104,0,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,31-342,1993,2.5,14,8,6,7,1,3,5,60.0,2,7,3,4,3,17,3,0,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-100,1995,7.3,7,4,4,3,0,3,11,27.3,8,8,2,6,14,21,12,0,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-154,1994,18.8,22,15,4,9,9,9,26,34.6,17,20,0,20,9,31,16,0,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-289,1995,3.2,3,2,1,2,0,2,2,100.0,0,2,0,2,3,6,13,0,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-111,2001,0.9,3,1,2,1,0,2,5,40.0,3,2,0,2,1,4,3,0,Matches
