Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-067,2003,6.4,31,4.88,21,0,3,3,4,0,1,0.16,1,0,0,0,0,0,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-029,2001,16.5,50,3.04,40,0,3,4,2,1,5,0.30,3,0,0,1,1,0,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-301,1999,3.4,8,2.40,7,0,0,0,1,0,2,0.60,1,0,0,0,1,0,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-247,1996,16.6,10,0.60,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-311,1994,18.4,10,0.54,8,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,31-342,1993,2.5,3,1.22,0,1,0,0,0,2,1,0.41,0,0,0,0,0,1,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-100,1995,7.3,11,1.51,9,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-154,1994,18.8,94,4.99,66,18,4,0,4,2,9,0.48,6,0,2,0,1,0,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-289,1995,3.2,7,2.16,6,0,0,1,0,0,1,0.31,0,0,0,1,0,0,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-111,2001,0.9,4,4.68,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-111,2001,1.0,2,2.07,1,0,0,1,0,0,2,2.07,1,0,0,1,0,0,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-255,2001,1.5,8,5.18,5,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-045,1999,1.1,2,1.82,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-045,1999,13.0,30,2.30,20,0,2,6,2,0,3,0.23,2,0,0,1,0,0,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,24-359,2000,13.6,39,2.87,26,0,3,1,9,0,5,0.37,1,0,1,0,3,0,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-022,2000,14.3,79,5.52,68,0,5,1,4,1,16,1.12,12,0,1,0,3,0,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-077,2001,2.9,4,1.39,4,0,0,0,0,0,1,0.35,1,0,0,0,0,0,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-225,1989,28.5,94,3.30,85,3,3,2,0,1,19,0.67,17,0,2,0,0,0,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-187,2004,21.1,18,0.85,16,0,0,2,0,0,5,0.24,4,0,0,1,0,0,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-254,1999,23.9,50,2.09,39,1,2,6,2,0,4,0.17,4,0,0,0,0,0,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-076,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-264,1994,30.1,121,4.03,97,2,4,7,9,2,11,0.37,9,0,0,1,1,0,Matches
23,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,22-095,2003,5.4,9,1.66,9,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
24,Fernando Álvarez,co COL,DF,CF Montréal,22-069,2003,12.2,10,0.82,7,1,0,1,0,1,1,0.08,0,0,0,1,0,0,Matches
