Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
1,Paxten Aaronson,us USA,MF,Colorado Rapids,22-067,2003,6.4,218,253,86.2,3465,955,103,112,92.0,96,102,94.1,11,25,44.0,0,0.6,1.0,-0.6,10,29,5,0,42,Matches
2,Liel Abada,il ISR,"FW,MF",Charlotte,24-029,2001,16.5,351,464,75.6,5027,1509,212,252,84.1,112,147,76.2,18,31,58.1,1,2.8,2.6,-1.8,27,26,27,4,52,Matches
3,Wessam Abou Ali,ps PLE,FW,Columbus Crew,26-301,1999,3.4,56,80,70.0,729,138,36,47,76.6,15,20,75.0,1,1,100.0,0,0.6,0.3,-0.6,4,4,2,0,8,Matches
4,Luis Abram,pe PER,DF,Atlanta Utd,29-247,1996,16.6,883,1004,87.9,17171,6323,282,300,94.0,504,534,94.4,84,150,56.0,0,0.0,0.4,0.0,0,77,5,1,75,Matches
5,Lalas Abubakar,gh GHA,DF,FC Dallas,30-311,1994,18.4,596,688,86.6,9757,4226,274,297,92.3,280,307,91.2,30,64,46.9,0,0.1,0.3,-0.1,4,40,3,0,33,Matches
6,Bryan Acosta,hn HON,MF,Nashville SC,31-342,1993,2.5,171,187,91.4,2952,846,82,82,100.0,68,75,90.7,17,25,68.0,0,0.6,0.5,-0.6,2,23,3,0,17,Matches
7,Kellyn Acosta,us USA,MF,Chicago Fire,30-100,1995,7.3,341,391,87.2,5109,1316,192,212,90.6,123,131,93.9,16,29,55.2,0,0.4,0.2,-0.4,3,26,4,0,27,Matches
8,Luciano Acosta,ar ARG,"MF,FW",FC Dallas,31-154,1994,18.8,686,967,70.9,11820,4924,354,419,84.5,228,303,75.2,83,157,52.9,1,3.9,5.8,-2.9,42,109,48,10,130,Matches
9,Sam Adekugbe,ca CAN,DF,Vancouver W'caps,30-289,1995,3.2,207,238,87.0,3028,982,122,131,93.1,78,92,84.8,5,7,71.4,0,0.3,0.2,-0.3,2,16,2,0,16,Matches
10,Leonardo Afonso,br BRA,"DF,FW",Atlanta Utd,24-111,2001,0.9,27,38,71.1,358,95,17,22,77.3,9,11,81.8,0,1,0.0,0,0.6,0.1,-0.6,3,0,3,0,3,Matches
11,Leonardo Afonso,br BRA,"FW,MF",Inter Miami,24-111,2001,1.0,12,17,70.6,152,9,5,7,71.4,3,5,60.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
12,Stephen Afrifa,ca CAN,"MF,FW",Sporting KC,24-255,2001,1.5,58,71,81.7,736,152,38,42,90.5,15,18,83.3,1,3,33.3,0,0.2,0.2,-0.2,3,1,1,0,7,Matches
13,William Agada,ng NGA,FW,Sporting KC,26-045,1999,1.1,21,22,95.5,306,45,13,13,100.0,6,6,100.0,2,3,66.7,0,0.2,0.4,-0.2,2,0,1,0,2,Matches
14,William Agada,ng NGA,FW,Real Salt Lake,26-045,1999,13.0,176,231,76.2,2330,291,97,123,78.9,55,68,80.9,7,7,100.0,2,1.5,1.0,+0.5,17,13,3,0,11,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,24-359,2000,13.6,162,211,76.8,2162,352,94,118,79.7,47,63,74.6,5,6,83.3,1,2.5,1.4,-1.5,19,10,6,0,19,Matches
16,Ali Ahmed,ca CAN,FW,Vancouver W'caps,25-022,2000,14.3,553,686,80.6,8331,2187,325,369,88.1,188,223,84.3,29,43,67.4,8,4.8,5.5,+3.2,37,36,41,11,80,Matches
17,Forster Ajago,gh GHA,FW,Real Salt Lake,24-077,2001,2.9,20,26,76.9,248,24,10,14,71.4,7,7,100.0,0,0,,0,0.1,0.0,-0.1,3,1,0,0,1,Matches
18,Jordi Alba,es ESP,DF,Inter Miami,36-225,1989,28.5,1723,2142,80.4,29901,9302,805,910,88.5,732,872,83.9,150,249,60.2,11,8.7,7.7,+2.3,56,123,60,13,187,Matches
19,Noah Allen,gr GRE,DF,Inter Miami,21-187,2004,21.1,1222,1372,89.1,23305,6991,455,480,94.8,624,671,93.0,127,185,68.6,1,1.3,1.0,-0.3,5,74,7,2,80,Matches
20,Tadeo Allende,ar ARG,"MF,FW",Inter Miami,26-254,1999,23.9,479,639,75.0,6442,1169,298,350,85.1,136,184,73.9,15,20,75.0,1,2.5,2.1,-1.5,22,14,16,5,42,Matches
21,Rasmus Alm,se SWE,DF,St. Louis,30-076,1995,0.1,2,4,50.0,50,0,1,3,33.3,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
22,Miguel Almirón,py PAR,"FW,MF",Atlanta Utd,31-264,1994,30.1,1065,1307,81.5,17127,4788,526,609,86.4,413,478,86.4,83,121,68.6,4,3.1,5.5,+0.9,44,119,57,6,213,Matches
23,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,22-095,2003,5.4,315,359,87.7,3911,1075,208,215,96.7,77,88,87.5,6,18,33.3,0,0.2,0.5,-0.2,3,23,3,0,33,Matches
24,Fernando Álvarez,co COL,DF,CF Montréal,22-069,2003,12.2,578,679,85.1,11478,4016,171,186,91.9,345,367,94.0,60,117,51.3,1,0.6,0.2,+0.4,2,45,2,0,48,Matches
25,Steven Alzate,co COL,MF,Atlanta Utd,27-054,1998,7.2,393,441,89.1,6183,1915,203,213,95.3,140,148,94.6,31,51,60.8,1,0.8,1.0,+0.2,8,39,3,0,31,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Pedro Amador,pt POR,DF,Atlanta Utd,26-318,1998,23.1,981,1243,78.9,16513,5805,428,498,85.9,440,531,82.9,76,141,53.9,0,1.8,2.1,-1.8,16,74,25,7,88,Matches
27,Daouda Amadou,cm CMR,MF,Colorado Rapids,23-030,2002,0.1,14,15,93.3,267,123,4,4,100.0,8,8,100.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,2,Matches
28,Frankie Amaya,us USA,MF,LAFC,25-036,2000,4.8,242,264,91.7,3595,755,145,155,93.5,79,84,94.0,9,11,81.8,0,0.4,0.5,-0.4,10,26,6,0,24,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,27-263,1998,19.8,1194,1378,86.6,19353,7352,636,667,95.4,461,524,88.0,79,137,57.7,2,1.2,1.2,+0.8,6,143,14,3,119,Matches
30,Markus Anderson,us USA,FW,Philadelphia Union,21-325,2003,1.1,8,15,53.3,114,46,5,9,55.6,2,4,50.0,1,2,50.0,0,0.0,0.0,0.0,0,3,1,0,3,Matches
31,Tomas Ángel,co COL,FW,San Diego FC,22-254,2003,7.9,144,185,77.8,2080,410,86,101,85.1,39,45,86.7,11,17,64.7,2,1.0,1.2,+1.0,12,11,7,0,21,Matches
32,Iván Angulo,co COL,"MF,FW",Orlando City,26-224,1999,25.6,692,835,82.9,10107,3098,394,444,88.7,250,298,83.9,28,45,62.2,4,4.0,4.1,0.0,37,49,50,5,111,Matches
33,Conner Antley,us USA,"DF,MF",D.C. United,30-224,1995,14.9,396,561,70.6,7262,2173,161,195,82.6,184,248,74.2,45,94,47.9,1,0.3,0.5,+0.7,6,29,6,1,37,Matches
34,Antony,br BRA,"FW,MF",Portland Timbers,24-054,2001,24.5,734,955,76.9,11085,2877,409,490,83.5,265,324,81.8,37,60,61.7,5,2.7,2.1,+2.3,29,55,27,4,93,Matches
